Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Route,Year,Quarter,Month,Month_Name,Day_of_Week,Weather_Severity,Risk_Category,Reliability_Level,Fuel_Cost_Bucket,Shipment_Size,Distance_Category,Expected_Lead_Time_Days,Delay_Days,Delay_Percentage,Delay_Status,SLA_Met,Estimated_Cost_USD,Cost_Per_KM,Cost_Per_Tonne,Carbon_Emission_kg,Emission_Per_Tonne_KM,Risk_Index,Priority_Level,Chokepoint_Route,Route_Disruption_Rate
SC-10010,2024-03-30,Dubai,Rotterdam,Rail,Perishables,798.48,83.58,4.12,0.7,Rain,0.707,0.5,0,Dubai -> Rotterdam,2024,Q1,3,Mar,Saturday,3,Low,Good,High,Light,Short-Haul,11.54,-11.04,-95.7,On Time,Yes,565.4,0.71,6.76,1468.2,22,29.6,Medium,No,64.5
SC-10011,2025-08-27,Hamburg,Los Angeles,Air,Automotive,14563.69,353.6,3.61,1.7,Fog,0.516,1.33,1,Hamburg -> Los Angeles,2025,Q3,8,Aug,Wednesday,2,Low,Poor,High,Heavy,Long-Haul,0.93,0.4,43.0,Major Delay,No,315394.65,21.66,891.95,2574860.4,500,33.3,Low,No,67.1
SC-10012,2025-03-08,Singapore,Busan,Rail,Perishables,12570.42,268.14,4.26,9.8,Fog,0.568,19.6,1,Singapore -> Busan,2025,Q1,3,Mar,Saturday,2,High,Poor,High,Medium,Long-Haul,11.54,8.06,69.8,Major Delay,No,28839.13,2.29,107.55,74153.9,22,64.2,High,No,58.3
SC-10013,2024-02-02,Los Angeles,Hamburg,Road,Pharmaceuticals,3578.92,318.03,2.3,4.7,Storm,0.66,7.58,1,Los Angeles -> Hamburg,2024,Q1,2,Feb,Friday,4,Medium,Good,Low,Medium,Medium-Haul,9.3,-1.72,-18.5,On Time,Yes,16799.89,4.69,52.82,70568.6,62,53.0,Medium,No,52.5
SC-10014,2024-01-31,Antwerp,Shanghai,Rail,Textiles,3136.46,99.05,2.86,8.7,Storm,0.671,9.4,1,Antwerp -> Shanghai,2024,Q1,1,Jan,Wednesday,4,High,Good,Medium,Light,Medium-Haul,11.54,-2.14,-18.5,On Time,Yes,2397.1,0.76,24.2,6834.7,22,68.7,High,No,66.2
SC-10015,2024-04-05,Antwerp,Marseille,Rail,Perishables,3159.37,106.66,1.25,8.5,Hurricane,0.95,25.5,1,Antwerp -> Marseille,2024,Q2,4,Apr,Friday,5,High,Excellent,Low,Light,Medium-Haul,11.54,13.96,121.0,Major Delay,No,2274.6,0.72,21.33,7413.5,22,65.5,High,No,63.7
SC-10016,2024-08-11,Los Angeles,Busan,Road,Perishables,4911.51,21.71,1.22,5.1,Clear,0.871,3.76,0,Los Angeles -> Busan,2024,Q3,8,Aug,Sunday,1,Medium,Excellent,Low,Light,Medium-Haul,9.3,-5.54,-59.6,On Time,Yes,1435.65,0.29,66.13,6611.0,62,30.3,Medium,No,62.1
SC-10017,2024-08-26,Shanghai,Busan,Air,Textiles,8108.97,161.71,1.99,7.1,Storm,0.986,1.83,1,Shanghai -> Busan,2024,Q3,8,Aug,Monday,4,High,Excellent,Low,Light,Medium-Haul,0.93,0.9,96.8,Major Delay,No,70751.27,8.73,437.52,655650.8,500,52.8,Medium,No,64.4
SC-10018,2025-06-01,Busan,Rotterdam,Air,Automotive,6763.2,280.31,1.53,1.9,Fog,0.8,0.5,0,Busan -> Rotterdam,2025,Q2,6,Jun,Sunday,2,Low,Good,Low,Medium,Medium-Haul,0.93,-0.43,-46.2,On Time,Yes,98363.2,14.54,350.91,947896.3,500,25.6,Low,No,58.7
SC-10019,2025-09-08,Busan,Dubai,Rail,Electronics,4722.82,429.11,2.06,6.9,Fog,0.621,7.6,0,Busan -> Dubai,2025,Q3,9,Sep,Monday,2,High,Poor,Low,Heavy,Medium-Haul,11.54,-3.94,-34.1,On Time,Yes,14664.54,3.11,34.17,44585.4,22,51.0,Medium,No,57.7
SC-10020,2024-01-28,Busan,Antwerp,Air,Perishables,9371.87,333.8,1.78,2.7,Rain,0.664,0.5,0,Busan -> Antwerp,2024,Q1,1,Jan,Sunday,3,Low,Good,Low,Heavy,Long-Haul,0.93,-0.43,-46.2,On Time,Yes,165832.78,17.69,496.8,1564165.1,500,38.9,Medium,No,60.0
SC-10021,2025-07-28,Shanghai,Antwerp,Rail,Textiles,2522.66,218.26,1.29,8.3,Storm,0.66,6.61,1,Shanghai -> Antwerp,2025,Q3,7,Jul,Monday,4,High,Good,Low,Medium,Short-Haul,11.54,-4.93,-42.7,On Time,Yes,3729.74,1.48,17.09,12113.1,22,67.4,High,No,61.0
SC-10022,2024-07-22,Busan,Rotterdam,Rail,Textiles,4736.1,476.61,4.2,0.8,Rain,0.663,4.54,1,Busan -> Rotterdam,2024,Q3,7,Jul,Monday,3,Low,Good,High,Heavy,Medium-Haul,11.54,-7.0,-60.7,On Time,Yes,19231.96,4.06,40.35,49660.0,22,31.3,Low,No,58.7
SC-10023,2025-10-27,Busan,Shanghai,Air,Perishables,5812.25,359.9,1.23,7.7,Hurricane,0.836,3.3,1,Busan -> Shanghai,2025,Q4,10,Oct,Monday,5,High,Good,Low,Heavy,Medium-Haul,0.93,2.37,254.8,Major Delay,No,105710.57,18.19,293.72,1045914.4,500,65.7,High,No,68.1
SC-10024,2025-12-19,Dubai,Shanghai,Road,Perishables,7113.01,465.15,3.63,1.0,Clear,0.765,4.29,0,Dubai -> Shanghai,2025,Q4,12,Dec,Friday,1,Low,Good,High,Heavy,Medium-Haul,9.3,-5.01,-53.9,On Time,Yes,54115.73,7.61,116.34,205134.2,62,17.0,Low,No,56.8
SC-10025,2025-07-12,Shanghai,Singapore,Air,Electronics,11885.05,264.27,1.7,8.8,Hurricane,0.693,6.86,1,Shanghai -> Singapore,2025,Q3,7,Jul,Saturday,5,High,Good,Low,Medium,Long-Haul,0.93,5.93,637.6,Major Delay,No,165366.39,13.91,625.75,1570431.1,500,74.4,High,No,67.7
SC-10026,2025-03-05,Busan,Rotterdam,Sea,Textiles,3395.27,130.19,4.21,3.0,Fog,0.575,9.09,0,Busan -> Rotterdam,2025,Q1,3,Mar,Wednesday,2,Low,Poor,High,Light,Medium-Haul,21.79,-12.7,-58.3,On Time,Yes,1570.31,0.46,12.06,3536.2,8,36.8,Medium,Yes,58.7
SC-10027,2024-08-13,Singapore,Rotterdam,Rail,Electronics,7956.4,27.36,4.15,6.5,Fog,0.511,11.18,0,Singapore -> Rotterdam,2024,Q3,8,Aug,Tuesday,2,Medium,Poor,High,Light,Medium-Haul,11.54,-0.36,-3.1,On Time,Yes,1848.16,0.23,67.55,4789.1,22,52.7,Medium,No,65.8
SC-10028,2025-04-04,Shanghai,Dubai,Air,Textiles,9090.01,363.32,3.36,4.9,Storm,0.609,2.04,1,Shanghai -> Dubai,2025,Q2,4,Apr,Friday,4,Medium,Poor,Medium,Heavy,Long-Haul,0.93,1.11,119.4,Major Delay,No,198551.26,21.84,546.49,1651291.2,500,55.3,Medium,No,59.2
SC-10029,2025-08-26,Antwerp,Singapore,Air,Textiles,1173.53,61.53,3.42,3.7,Clear,0.554,0.5,0,Antwerp -> Singapore,2025,Q3,8,Aug,Tuesday,1,Medium,Poor,Medium,Light,Short-Haul,0.93,-0.43,-46.2,On Time,Yes,4360.6,3.72,70.87,36103.7,500,34.2,Low,No,64.6
SC-10030,2024-10-11,Antwerp,Los Angeles,Rail,Perishables,9309.4,152.08,1.22,6.5,Storm,0.893,25.79,0,Antwerp -> Los Angeles,2024,Q4,10,Oct,Friday,4,Medium,Excellent,Low,Light,Long-Haul,11.54,14.25,123.5,Major Delay,No,9530.99,1.02,62.67,31147.0,22,53.2,Medium,No,63.2
SC-10031,2024-01-07,Singapore,Marseille,Air,Automotive,2972.6,266.7,4.45,9.5,Fog,0.556,1.04,1,Singapore -> Marseille,2024,Q1,1,Jan,Sunday,2,High,Poor,High,Medium,Short-Haul,0.93,0.11,11.8,Minor Delay,No,51551.33,17.34,193.29,396396.2,500,63.3,High,No,55.2
SC-10032,2024-06-12,Singapore,Dubai,Road,Perishables,1443.25,282.64,4.1,0.4,Storm,0.862,2.5,1,Singapore -> Dubai,2024,Q2,6,Jun,Wednesday,4,Low,Excellent,High,Medium,Short-Haul,9.3,-6.8,-73.1,On Time,Yes,6902.01,4.78,24.42,25291.1,62,29.7,Medium,No,63.7
SC-10033,2025-12-15,Shanghai,Antwerp,Rail,Automotive,14258.84,300.69,4.15,9.2,Rain,0.693,16.61,1,Shanghai -> Antwerp,2025,Q4,12,Dec,Monday,3,High,Good,High,Medium,Long-Haul,11.54,5.07,43.9,Major Delay,No,36400.8,2.55,121.06,94324.8,22,64.0,High,No,61.0
SC-10034,2025-03-08,Hamburg,Singapore,Air,Textiles,14501.66,83.96,3.38,6.1,Rain,0.537,1.62,0,Hamburg -> Singapore,2025,Q1,3,Mar,Saturday,3,Medium,Poor,Medium,Light,Long-Haul,0.93,0.69,74.2,Major Delay,No,73309.25,5.06,873.14,608779.7,500,56.3,Medium,No,56.6
SC-10035,2024-12-14,Los Angeles,Antwerp,Road,Automotive,12221.76,190.49,2.34,8.1,Fog,0.906,15.57,0,Los Angeles -> Antwerp,2024,Q4,12,Dec,Saturday,2,High,Excellent,Medium,Medium,Long-Haul,9.3,6.27,67.4,Major Delay,No,34474.85,2.82,180.98,144343.6,62,47.2,Medium,No,58.8
SC-10036,2024-10-11,Busan,Marseille,Road,Textiles,4916.9,308.98,4.15,3.8,Hurricane,0.79,27.96,1,Busan -> Marseille,2024,Q4,10,Oct,Friday,5,Medium,Good,High,Medium,Medium-Haul,9.3,18.66,200.6,Major Delay,No,25796.42,5.25,83.49,94191.9,62,51.5,Medium,No,67.7
SC-10037,2024-06-08,Dubai,Hamburg,Rail,Textiles,1916.25,484.94,2.16,4.7,Storm,0.618,5.17,1,Dubai -> Hamburg,2024,Q2,6,Jun,Saturday,4,Medium,Poor,Low,Heavy,Short-Haul,11.54,-6.37,-55.2,On Time,Yes,6779.93,3.54,13.98,20443.9,22,54.3,Medium,No,61.5
SC-10038,2024-08-08,Dubai,Hamburg,Road,Automotive,10421.38,364.09,3.06,8.7,Rain,0.947,10.49,1,Dubai -> Hamburg,2024,Q3,8,Aug,Thursday,3,High,Excellent,Medium,Heavy,Long-Haul,9.3,1.19,12.8,Minor Delay,No,59464.59,5.71,163.32,235247.9,62,54.4,Medium,No,61.5
SC-10039,2024-12-10,Singapore,Busan,Rail,Perishables,6882.21,461.38,1.53,4.1,Storm,0.523,17.32,1,Singapore -> Busan,2024,Q4,12,Dec,Tuesday,4,Medium,Poor,Low,Heavy,Medium-Haul,11.54,5.78,50.1,Major Delay,No,21966.82,3.19,47.61,69856.9,22,54.7,Medium,No,58.3
SC-10040,2024-04-14,Los Angeles,Shanghai,Air,Automotive,2269.55,381.34,4.24,5.3,Fog,0.601,0.5,1,Los Angeles -> Shanghai,2024,Q2,4,Apr,Sunday,2,Medium,Poor,High,Heavy,Short-Haul,0.93,-0.43,-46.2,On Time,Yes,55459.33,24.44,145.43,432735.1,500,45.2,Medium,No,61.6
SC-10041,2024-04-04,Busan,Antwerp,Rail,Electronics,7680.07,296.27,1.66,0.2,Storm,0.876,15.87,1,Busan -> Antwerp,2024,Q2,4,Apr,Thursday,4,Low,Excellent,Low,Medium,Medium-Haul,11.54,4.33,37.5,Minor Delay,No,15918.52,2.07,53.73,50058.2,22,28.5,Low,No,60.0
SC-10042,2025-01-24,Dubai,Los Angeles,Sea,Textiles,998.63,96.82,1.94,1.6,Fog,0.855,2.84,0,Dubai -> Los Angeles,2025,Q1,1,Jan,Friday,2,Low,Excellent,Low,Light,Short-Haul,21.79,-18.95,-87.0,On Time,Yes,288.61,0.29,2.98,773.5,8,22.8,Low,No,58.2
SC-10043,2024-04-09,Busan,Rotterdam,Rail,Pharmaceuticals,13685.15,333.68,3.04,6.4,Fog,0.645,18.12,0,Busan -> Rotterdam,2024,Q2,4,Apr,Tuesday,2,Medium,Poor,Medium,Heavy,Long-Haul,11.54,6.58,57.0,Major Delay,No,35727.99,2.61,107.07,100462.1,22,48.2,Medium,No,58.7
SC-10044,2025-01-02,Dubai,Rotterdam,Sea,Textiles,4252.31,312.07,3.72,7.2,Storm,0.531,25.25,1,Dubai -> Rotterdam,2025,Q1,1,Jan,Thursday,4,High,Poor,High,Medium,Medium-Haul,21.79,3.46,15.9,Minor Delay,No,4551.67,1.07,14.59,10616.1,8,66.9,High,Yes,64.5
SC-10045,2024-12-18,Busan,Los Angeles,Road,Textiles,10106.57,301.63,3.24,5.8,Rain,0.929,9.76,1,Busan -> Los Angeles,2024,Q4,12,Dec,Wednesday,3,Medium,Excellent,Medium,Medium,Long-Haul,9.3,0.46,4.9,On Time,Yes,48433.69,4.79,160.57,189003.6,62,43.3,Medium,No,48.3
SC-10046,2025-09-10,Shanghai,Hamburg,Road,Automotive,5019.81,245.4,1.97,1.4,Storm,0.657,8.72,1,Shanghai -> Hamburg,2025,Q3,9,Sep,Wednesday,4,Low,Good,Low,Medium,Medium-Haul,9.3,-0.58,-6.2,On Time,Yes,17694.46,3.52,72.1,76375.4,62,39.9,Medium,No,63.2
SC-10047,2024-09-27,Shanghai,Marseille,Sea,Electronics,8040.99,264.8,1.2,4.5,Rain,0.598,16.27,1,Shanghai -> Marseille,2024,Q3,9,Sep,Friday,3,Medium,Poor,Low,Medium,Medium-Haul,21.79,-5.52,-25.3,On Time,Yes,5961.91,0.74,22.51,17034.0,8,48.1,Medium,Yes,66.2
SC-10048,2024-02-14,Los Angeles,Hamburg,Sea,Perishables,8427.3,167.89,3.7,3.6,Hurricane,0.758,110.18,1,Los Angeles -> Hamburg,2024,Q1,2,Feb,Wednesday,5,Medium,Good,High,Medium,Medium-Haul,21.79,88.39,405.6,Major Delay,No,4845.89,0.58,28.86,11318.9,8,51.7,Medium,Yes,52.5
SC-10049,2025-04-15,Singapore,Los Angeles,Air,Perishables,3180.39,260.14,4.45,5.0,Hurricane,0.955,1.85,1,Singapore -> Los Angeles,2025,Q2,4,Apr,Tuesday,5,Medium,Excellent,High,Medium,Medium-Haul,0.93,0.92,98.9,Major Delay,No,53798.22,16.92,206.8,413673.3,500,51.4,Medium,No,61.5
SC-10050,2025-07-03,Dubai,Antwerp,Rail,Pharmaceuticals,14558.98,99.58,3.87,8.7,Fog,0.522,21.27,0,Dubai -> Antwerp,2025,Q3,7,Jul,Thursday,2,High,Poor,High,Light,Long-Haul,11.54,9.73,84.3,Major Delay,No,12065.1,0.83,121.16,31895.2,22,61.1,High,No,61.8
SC-10051,2024-05-07,Dubai,Los Angeles,Road,Automotive,11739.43,402.78,2.72,7.8,Rain,0.883,11.65,0,Dubai -> Los Angeles,2024,Q2,5,May,Tuesday,3,High,Excellent,Medium,Heavy,Long-Haul,9.3,2.35,25.3,Minor Delay,No,72174.41,6.15,179.19,293161.3,62,52.7,Medium,No,58.2
SC-10052,2025-01-22,Hamburg,Busan,Road,Perishables,14122.73,93.7,4.18,0.8,Hurricane,0.786,70.01,1,Hamburg -> Busan,2025,Q1,1,Jan,Wednesday,5,Low,Good,High,Light,Long-Haul,9.3,60.71,652.8,Major Delay,No,22517.27,1.59,240.31,82044.6,62,39.6,Medium,No,63.9
SC-10053,2024-03-21,Dubai,Shanghai,Rail,Textiles,13475.0,43.4,2.55,8.9,Hurricane,0.713,107.82,1,Dubai -> Shanghai,2024,Q1,3,Mar,Thursday,5,High,Good,Medium,Light,Long-Haul,11.54,96.28,834.3,Major Delay,No,4403.66,0.33,101.47,12865.9,22,74.2,High,No,56.8
SC-10054,2025-07-19,Shanghai,Rotterdam,Road,Automotive,9169.55,218.69,2.93,4.7,Storm,0.872,19.8,1,Shanghai -> Rotterdam,2025,Q3,7,Jul,Saturday,4,Medium,Excellent,Medium,Medium,Long-Haul,9.3,10.5,112.9,Major Delay,No,31114.06,3.39,142.27,124327.9,62,46.6,Medium,No,58.0
SC-10055,2024-10-27,Singapore,Los Angeles,Air,Pharmaceuticals,13867.18,329.5,2.77,7.4,Rain,0.983,1.65,1,Singapore -> Los Angeles,2024,Q4,10,Oct,Sunday,3,High,Excellent,Medium,Heavy,Long-Haul,0.93,0.72,77.4,Major Delay,No,262571.14,18.93,796.88,2284617.9,500,48.1,Medium,No,61.5
SC-10056,2025-10-05,Rotterdam,Marseille,Rail,Perishables,1783.14,219.42,2.68,1.4,Rain,0.615,0.74,0,Rotterdam -> Marseille,2025,Q4,10,Oct,Sunday,3,Low,Poor,Medium,Medium,Short-Haul,11.54,-10.8,-93.6,On Time,Yes,2976.68,1.67,13.57,8607.6,22,35.2,Medium,No,75.0
SC-10057,2025-09-25,Busan,Los Angeles,Sea,Textiles,3341.75,139.1,3.76,6.7,Storm,0.572,18.83,0,Busan -> Los Angeles,2025,Q3,9,Sep,Thursday,4,High,Poor,High,Light,Medium-Haul,21.79,-2.96,-13.6,On Time,Yes,1599.04,0.48,11.5,3718.7,8,63.6,High,No,48.3
SC-10058,2025-01-05,Rotterdam,Shanghai,Road,Textiles,1155.8,279.53,2.94,2.4,Rain,0.956,1.32,0,Rotterdam -> Shanghai,2025,Q1,1,Jan,Sunday,3,Low,Excellent,Medium,Medium,Short-Haul,9.3,-7.98,-85.8,On Time,Yes,5016.8,4.34,17.95,20031.0,62,28.9,Low,No,55.7
SC-10059,2025-08-14,Antwerp,Rotterdam,Road,Textiles,5217.29,174.15,2.25,4.4,Fog,0.834,5.57,0,Antwerp -> Rotterdam,2025,Q3,8,Aug,Thursday,2,Medium,Good,Low,Medium,Medium-Haul,9.3,-3.73,-40.1,On Time,Yes,13356.29,2.56,76.69,56332.6,62,34.6,Low,No,55.7
SC-10060,2024-07-15,Shanghai,Antwerp,Sea,Electronics,6135.82,466.5,2.05,0.2,Fog,0.719,12.92,0,Shanghai -> Antwerp,2024,Q3,7,Jul,Monday,2,Low,Good,Low,Heavy,Medium-Haul,21.79,-8.87,-40.7,On Time,Yes,8622.86,1.41,18.48,22898.9,8,21.2,Low,Yes,61.0
SC-10061,2025-12-22,Hamburg,Singapore,Road,Perishables,4434.56,461.4,1.32,1.5,Hurricane,0.787,23.3,1,Hamburg -> Singapore,2025,Q4,12,Dec,Monday,5,Low,Good,Low,Heavy,Medium-Haul,9.3,14.0,150.5,Major Delay,No,27794.3,6.27,60.24,126858.6,62,42.4,Medium,No,56.6
SC-10062,2024-03-12,Los Angeles,Hamburg,Road,Automotive,12516.69,251.68,3.12,0.9,Rain,0.873,9.0,0,Los Angeles -> Hamburg,2024,Q1,3,Mar,Tuesday,3,Low,Excellent,Medium,Medium,Long-Haul,9.3,-0.3,-3.2,On Time,Yes,49596.76,3.96,197.06,195312.4,62,25.4,Low,No,52.5
SC-10063,2024-02-16,Los Angeles,Marseille,Road,Textiles,5672.92,164.61,1.96,2.4,Storm,0.887,11.04,0,Los Angeles -> Marseille,2024,Q1,2,Feb,Friday,4,Low,Excellent,Low,Medium,Medium-Haul,9.3,1.74,18.7,Minor Delay,No,13402.18,2.36,81.42,57896.8,62,37.0,Medium,No,54.2
SC-10064,2025-11-08,Shanghai,Rotterdam,Rail,Textiles,4573.55,368.83,1.69,1.0,Clear,0.96,3.09,0,Shanghai -> Rotterdam,2025,Q4,11,Nov,Saturday,1,Low,Excellent,Low,Heavy,Medium-Haul,11.54,-8.45,-73.2,On Time,Yes,11831.65,2.59,32.08,37111.0,22,11.2,Low,No,58.0
SC-10065,2024-08-21,Antwerp,Marseille,Sea,Electronics,8369.09,19.32,3.36,6.9,Storm,0.713,47.52,1,Antwerp -> Marseille,2024,Q3,8,Aug,Wednesday,4,High,Good,Medium,Light,Medium-Haul,21.79,25.73,118.1,Major Delay,No,540.05,0.06,27.95,1293.5,8,60.2,High,No,63.7
SC-10066,2024-10-23,Los Angeles,Singapore,Air,Automotive,2543.4,237.91,3.45,0.3,Fog,0.647,0.85,0,Los Angeles -> Singapore,2024,Q4,10,Oct,Wednesday,2,Low,Poor,High,Medium,Short-Haul,0.93,-0.08,-8.6,On Time,Yes,36623.7,14.4,153.94,302550.1,500,23.8,Low,No,72.1
SC-10067,2024-03-22,Busan,Los Angeles,Air,Automotive,12131.86,168.83,3.68,6.2,Clear,0.82,0.5,0,Busan -> Los Angeles,2024,Q1,3,Mar,Friday,1,Medium,Good,High,Medium,Long-Haul,0.93,-0.43,-46.2,On Time,Yes,126088.54,10.39,746.84,1024111.0,500,36.2,Medium,No,48.3
SC-10068,2024-08-26,Los Angeles,Shanghai,Sea,Automotive,1580.98,460.35,2.86,1.4,Rain,0.708,3.32,1,Los Angeles -> Shanghai,2024,Q3,8,Aug,Monday,3,Low,Good,Medium,Heavy,Short-Haul,21.79,-18.47,-84.8,On Time,Yes,2339.89,1.48,5.08,5822.4,8,32.4,Low,No,61.6
SC-10069,2024-04-13,Dubai,Singapore,Rail,Electronics,14809.86,6.99,4.15,9.5,Fog,0.797,23.13,0,Dubai -> Singapore,2024,Q2,4,Apr,Saturday,2,High,Good,High,Light,Long-Haul,11.54,11.59,100.4,Major Delay,No,878.89,0.06,125.74,2277.5,22,56.1,Medium,No,65.4
SC-10070,2025-01-24,Shanghai,Antwerp,Sea,Textiles,11697.55,276.85,4.29,9.3,Fog,0.71,36.52,1,Shanghai -> Antwerp,2025,Q1,1,Jan,Friday,2,High,Good,High,Medium,Long-Haul,21.79,14.73,67.6,Major Delay,No,11569.42,0.99,41.79,25907.7,8,57.9,Medium,Yes,61.0
SC-10071,2024-10-11,Antwerp,Marseille,Sea,Pharmaceuticals,3381.38,370.59,3.86,2.3,Rain,0.576,6.46,0,Antwerp -> Marseille,2024,Q4,10,Oct,Friday,3,Low,Poor,High,Heavy,Medium-Haul,21.79,-15.33,-70.4,On Time,Yes,4342.01,1.28,11.72,10024.8,8,39.9,Medium,No,63.7
SC-10072,2025-04-09,Singapore,Hamburg,Sea,Textiles,580.07,243.02,3.3,6.1,Hurricane,0.735,8.4,1,Singapore -> Hamburg,2025,Q2,4,Apr,Wednesday,5,Medium,Good,Medium,Medium,Short-Haul,21.79,-13.39,-61.5,On Time,Yes,468.72,0.81,1.93,1127.7,8,62.4,High,Yes,64.4
SC-10073,2025-10-12,Shanghai,Los Angeles,Rail,Perishables,12324.19,43.62,2.2,0.3,Rain,0.845,10.99,0,Shanghai -> Los Angeles,2025,Q4,10,Oct,Sunday,3,Low,Good,Low,Light,Long-Haul,11.54,-0.55,-4.8,On Time,Yes,3935.09,0.32,90.21,11826.8,22,23.8,Low,No,62.0
SC-10074,2025-01-08,Busan,Los Angeles,Sea,Electronics,10749.43,486.26,4.44,9.3,Storm,0.9,66.01,1,Busan -> Los Angeles,2025,Q1,1,Jan,Wednesday,4,High,Excellent,High,Heavy,Long-Haul,21.79,44.22,202.9,Major Delay,No,18869.53,1.76,38.81,41816.1,8,64.2,High,No,48.3
SC-10075,2024-06-15,Busan,Dubai,Rail,Automotive,11070.6,259.49,2.1,5.2,Storm,0.747,30.22,1,Busan -> Dubai,2024,Q2,6,Jun,Saturday,4,Medium,Good,Low,Medium,Long-Haul,11.54,18.68,161.9,Major Delay,No,20855.87,1.88,80.37,63199.6,22,52.4,Medium,No,57.7
SC-10076,2025-01-14,Rotterdam,Antwerp,Air,Pharmaceuticals,11683.42,307.48,1.87,0.4,Rain,0.583,1.23,0,Rotterdam -> Antwerp,2025,Q1,1,Jan,Tuesday,3,Low,Poor,Low,Medium,Long-Haul,0.93,0.3,32.3,Minor Delay,No,191889.01,16.42,624.07,1796209.0,500,32.1,Medium,No,59.0
